Country,Region,Cercle,Commune,Village,Latitude,Longitude,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR
Mali,Gao,Gao,Soni Ali Ber,Kokorom,16.4184631,-0.1144839,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Tombouctou,Lafia,Komeikoukou,16.721516,-2.64571252,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Tombouctou,Lafia,Kouloutane,16.697363,-3.100433,2,ML02,Northern Livestock,Nord élevage
Mali,Gao,Ansongo,Bourra,Kounsoum,15.5144989,0.56519448,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Douentza,Douentza,Haire,Koyo-boni,15.06533,-2.18902827,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Gao,Ansongo,Bourra,Lellehoye,15.5445915,0.46897648,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Douentza,Douentza,Haire,Loro-foulbe,15.084412,-2.17212877,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Haire,Loro-habbe,15.0819416,-2.17873852,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Gourma-Rharous,Serere,Madiakoye,16.7497392,-2.3636584,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Gao,Soni Ali Ber,Magnadoue,16.3823098,-0.05205515,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Ansongo,Bourra,Mamadou Tallatou,15.8140481,0.94030623,4,ML04,"Central Livestock, Millet, and Remittances","Centre élevage, mil et transferts"
Mali,Tombouctou,Gourma-Rharous,Serere,Mamadou-koira,16.7921633,-2.3201294,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Gao,N'Tillit,Marsi,16.2384862,-0.0316124,17,ML17,Urban,Milieu urbain
Mali,Gao,Gao,Soni Ali Ber,M'balde,16.5949797,-0.15984327,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Tombouctou,Bourem Inaly,Milala,16.7578297,-2.52138502,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Gao,Ansongo,Ansongo,Monsonga,15.5454315,0.46363648,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
