Country,Region,Cercle,Commune,Village,Latitude,Longitude,LZNUM,LZCODE,LZNAMEEN,LZNAMEFR
Mali,Bandiagara,Koro,Koro,Timiri,13.7823845,-3.93372977,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Gao,Gao,Tilemsi,Tin Aouker,16.6620127,0.41228411,2,ML02,Northern Livestock,Nord élevage
Mali,Gao,Ansongo,Bourra,Tonditihio,15.514329,0.62763323,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Tongonolegou ,14.0316596,-3.16409615,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Douentza,Douentza,Dallah,Torobani rimaibe,15.1185345,-2.53254127,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Haire,Toupere,15.0032342,-2.08578027,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Tombouctou,Gourma-Rharous,Banikane,Tourchawane,16.9458592,-1.6905129,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Yadianga ,14.0670229,-3.19105565,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Bandiagara,Koro,Barapireli,Yassing,14.2776732,-3.04855902,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Bandiagara,Koro,Koro,Yogobenewe,14.8440771,-3.1574879,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Douentza,Douentza,Haire,Youna (Haire),15.0879022,-2.14015927,13,ML13,Center-eastern Millet and Livestock,Centre-est mil et élevage
Mali,Gao,Gao,Soni Ali Ber,Zindiga,16.309763,-0.04170502,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Bandiagara,Koro,Koro,Zon,13.8481121,-3.12292665,9,ML09,Central Sorghum and Millet,Centre sorgho et mil
Mali,Tombouctou,Tombouctou,Bourem Inaly,Tindjamban ,,,3,ML03,"Niger Loop Rice, Livestock, and Fishing","Boucle du Niger riz, élevage et peche"
Mali,Tombouctou,Gourma-Rharous,Serere,Waykaratane Borenda,,,4,ML04,"Central Livestock, Millet, and Remittances","Centre élevage, mil et transferts"
